,Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,url
30,Jonathan Appavoo,Boston University,2009,Assistant,Distributed & Parallel Computing,McMaster University - Canada,University of Toronto - Canada,University of Toronto - Canada,IBM Research - Zurich - Switzerland,http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html,,/fac/jappavoo/jappavoo.github.com/index.html
31,Leonid Levin,Boston University,1980,Full,Algorithms & Theory,Moscow State University - Russia,Moscow State University - Russia,Moscow State University - Russia,,http://www.bu.edu/cs/leonid-levin/,,/cs/leonid-levin/
32,Leonid Reyzin,Boston University,2001,Associate,Security & Privacy,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/reyzin/,,/fac/reyzin/
33,Lorenzo Orecchia,Boston University,2014,Assistant,Algorithms & Theory,Princeton University - USA,,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,http://orecchia.net/,,/
34,Margrit Betke,Boston University,2000,Full,Computer Vision,University of Bonn - Germany,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/betke/,,/fac/betke/
35,Mark Crovella,Boston University,1994,Full,Networks & Communications,Cornell University - USA,State University of New York - Buffalo - USA,University of Rochester - USA,,http://www.cs.bu.edu/fac/crovella/,,/fac/crovella/
36,Peter Gacs,Boston University,1984,Full,Algorithms & Theory,,Eotvos University - Budapest - Hungary,J.W. Goethe University Frankfurt am Main - Germany,,http://www.cs.bu.edu/fac/gacs/,,/fac/gacs/
37,Ran Canetti,Boston University,,Full,Security & Privacy,,,Weizmann Institute of Science - Israel,,http://www.cs.bu.edu/~canetti/,,/~canetti/
38,Richard West,Boston University,2006,Associate,Operating Systems,University of Newcastle - United Kindom,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.bu.edu/fac/richwest/,,/fac/richwest/
39,Sharon Goldberg,Boston University,2010,Assistant,Security & Privacy,University of Toronto - Canada,Princeton University - USA,Princeton University - USA,Microsoft Research - USA,http://www.cs.bu.edu/fac/goldbe/,,/fac/goldbe/
40,Stan Sclaroff,Boston University,1995,Full,Computer Vision,Tufts University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/sclaroff/,,/fac/sclaroff/
41,Steve Homer,Boston University,1982,Full,Algorithms & Theory,University of California - Berkeley - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/homer/,,/fac/homer/
42,Wayne Snyder,Boston University,1995,Associate,Multimedia,,Tufts University - USA,University of Pennsylvania - USA,,http://www.cs.bu.edu/fac/snyder/,,/fac/snyder/
43,Amy Greenwald,Brown University,2000,Associate,Artificial Intelligence,University of Pennsylvania - USA,University of Oxford - United Kingdom,New York University - USA,IBM Thomas J. Watson Research Center - USA,https://research.brown.edu/pdf/1106970084.pdf?nocache=815818275http://cs.brown.edu/people/faculty/amy.html,,/pdf/1106970084.pdf?nocache=815818275http://cs.brown.edu/people/faculty/amy.html
44,Andries van Dam,Brown University,1965,Full,Graphics,Swarthmore College - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://cs.brown.edu/people/faculty/avd.html,,/people/faculty/avd.html
45,Anna Lysyanskaya,Brown University,2002,Full,Security & Privacy,Smith College - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970028.pdf?nocache=50031346,,/pdf/1106970028.pdf?nocache=50031346
46,Benjamin Raphael,Brown University,2006,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,,University of California - San Diego - USA,University of California - San Diego - USA,https://research.brown.edu/pdf/1154701099.pdf?nocache=646513249,http://www.cs.brown.edu/~braphael/,/pdf/1154701099.pdf?nocache=646513249
47,Chad Jenkins,Brown University,2004,Full,Artificial Intelligence,Alma College - USA,Georgia Institute of Technology - USA,University of Southern California - USA,,https://research.brown.edu/pdf/10404.pdf?nocache=22312599,,/pdf/10404.pdf?nocache=22312599
48,Claire Mathieu,Brown University,2004,Full,Algorithms & Theory,University of Paris VII: Denis Diderot - France,Paris XI - France,Paris XI - France,Princeton University - USA,http://cs.brown.edu/people/claire/vita-public.pdf,,/people/claire/vita-public.pdf
49,David Laidlaw,Brown University,1998,Full,Graphics,Brown University - USA,Brown University - USA,California Institute of Technology - USA,California Institute of Technology - USA,https://research.brown.edu/pdf/1106970029.pdf?nocache=2041876042,,/pdf/1106970029.pdf?nocache=2041876042
50,Eli Upfal,Brown University,1998,Full,Algorithms & Theory,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Hebrew University of Jerusalem - Israel,Stanford University - USA,http://cs.brown.edu/people/eli/biography.htm,,/people/eli/biography.htm
51,Erik Sudderth,Brown University,2009,Assistant,Machine Learning & Pattern Recognition,University of California - San Diego - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://cs.brown.edu/people/sudderth/bio.html,https://research.brown.edu/pdf/1256049139.pdf?nocache=647114139,/people/sudderth/bio.html
52,Eugene Charniak,Brown University,1978,Full,Natural Language & Speech,University of Chicago - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://cs.brown.edu/people/faculty/ec/,https://research.brown.edu/pdf/1106970087.pdf?nocache=499018897,/people/faculty/ec/
53,Franco Preparata,Brown University,1991,Full,Algorithms & Theory,,,University of Rome - La Sapienza - Italy,Consiglio Nazionale delle Ricerche - Italy,https://research.brown.edu/pdf/1106970027.pdf?nocache=1294867772,,/pdf/1106970027.pdf?nocache=1294867772
54,James Hays,Brown University,2009,Assistant,Computer Vision,Georgia Institute of Technology - USA,,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,http://cs.brown.edu/people/hays/,http://www.cs.cmu.edu/~jhhays/cv.pdf,/people/hays/
55,Jeff Huang,Brown University,2013,Assistant,Human-Computer Interaction,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Washington - USA,,http://jeffhuang.com/,,/
56,John Hughes,Brown University,1984,Full,Graphics,Princeton University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,https://research.brown.edu/pdf/1106970082.pdf?nocache=1528204531,http://cs.brown.edu/people/jfh/contact/cv.pdf,/pdf/1106970082.pdf?nocache=1528204531
57,John Savage,Brown University,1967,Full,Security & Privacy,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970026.pdf?nocache=1725575445,http://www.cs.brown.edu/~jes/,/pdf/1106970026.pdf?nocache=1725575445
58,Maurice Herlihy,Brown University,1994,Full,Distributed & Parallel Computing,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,https://research.brown.edu/pdf/1106970166.pdf?nocache=2117333914,,/pdf/1106970166.pdf?nocache=2117333914
59,Michael Littman,Brown University,2012,Full,Machine Learning & Pattern Recognition,Yale University - USA,Yale University - USA,Brown University - USA,,https://research.brown.edu/myresearch/Michael_Littman,,/myresearch/Michael_Littman
60,Paul Valiant,Brown University,2013,Assistant,Algorithms & Theory,Stanford University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://news.brown.edu/new-faculty/2012-13/paul-valiant,,/new-faculty/2012-13/paul-valiant
61,Pedro Felzenszwalb,Brown University,2011,Associate,Computer Vision,Cornell University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://cs.brown.edu/people/pff/,,/people/pff/
62,Philip Klein,Brown University,1989,Full,Algorithms & Theory,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Harvard University - USA,https://research.brown.edu/pdf/1106970030.pdf?nocache=1823784020,,/pdf/1106970030.pdf?nocache=1823784020
63,Roberto Tamassia,Brown University,1988,Full,Security & Privacy,,University of Rome - La Sapienza - Italy,University of Illinois at Urbana-Champaign - USA,,https://research.brown.edu/research/profile.php?id=1106970024&r=1,,/research/profile.php?id=1106970024&r=1
64,Rodrigo Fonseca,Brown University,2009,Assistant,Networks & Communications,Universidade Federal de Minas Gerais - Brazil,Universidade Federal de Minas Gerais - Brazil,University of California - Berkeley - USA,Yahoo Research - USA,https://research.brown.edu/pdf/1270227184.pdf?nocache=991428578,,/pdf/1270227184.pdf?nocache=991428578
65,Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,Ohio Wesleyan University - USA,,Rice University - USA,,https://research.brown.edu/pdf/1134569382.pdf?nocache=898518043,,/pdf/1134569382.pdf?nocache=898518043
66,Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,Alexandru Ioan Cuza University - Romania,,University of Bucharest - Romania,,https://research.brown.edu/pdf/1127248942.pdf?nocache=630690591,,/pdf/1127248942.pdf?nocache=630690591
67,Stan Zdonik,Brown University,1983,Full,Databases,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.brown.edu/~sbz/,,/~sbz/
68,Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://cs.brown.edu/people/stefie10/index.html,,/people/stefie10/index.html
69,Steven Reiss,Brown University,1977,Full,Software Engineering,Dartmouth College - USA,Yale University - USA,Yale University - USA,,https://research.brown.edu/pdf/1106970168.pdf?nocache=421235222,,/pdf/1106970168.pdf?nocache=421235222
70,Thomas Doeppner,Brown University,1981,Research,Operating Systems,Cornell University - USA,Princeton University - USA,Princeton University - USA,,https://research.brown.edu/pdf/1106970085.pdf?nocache=597043778,,/pdf/1106970085.pdf?nocache=597043778
71,Tim Kraska,Brown University,2013,Assistant,Databases,University of Münster - Germany,University of Sydney - Australia,Swiss Federal Institute of Technology (ETH) - Switzerland,University of California - Berkeley - USA,http://cs.brown.edu/people/kraskat/cv.html,,/people/kraskat/cv.html
72,Ugur Cetintemel,Brown University,2001,Full,Databases,Bilkent University - Turkey,Bilkent University - Turkey,University of Maryland - College Park - USA,,https://sites.google.com/a/brown.edu/ugur-cetintemel/,https://research.brown.edu/pdf/1134569408.pdf?nocache=1099151795,/ugur-cetintemel/
73,Adam Wierman,California Institute of Technology,2007,Full,Operating Systems,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://users.cms.caltech.edu/~adamw/,http://www.work.caltech.edu/,/~adamw/
74,Alain J. Martin,California Institute of Technology,1969,Full,Hardware & Architecture,Aix-Marseille University - France,,Institut National Polytechnique de Grenoble - France,,http://users.cms.caltech.edu/~alains/,http://www.work.caltech.edu/,/~alains/
75,Alan H. Barr,California Institute of Technology,1984,Full,Graphics,Rensselaer Polytechnic Institute - USA,Rensselaer Polytechnic Institute - USA,Indian Institute of Technology - Kanpur - India,,http://www.gg.caltech.edu/index.html,http://www.work.caltech.edu/,/index.html
76,Christopher Umans,California Institute of Technology,2002,Full,Algorithms & Theory,Williams College - USA,,University of California - Berkeley - USA,Microsoft Research - USA,http://users.cms.caltech.edu/~umans/,http://www.work.caltech.edu/,/~umans/
77,Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,University of Chicago - USA,,California Institute of Technology - USA,Princeton University - USA,http://www.dna.caltech.edu/~winfree/,http://www.work.caltech.edu/,/~winfree/
78,Katrina Ligett,California Institute of Technology,2011,Assistant,Algorithms & Theory,Brown University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Cornell University - USA,http://users.cms.caltech.edu/~katrina/,http://www.work.caltech.edu/,/~katrina/
79,Leonard J. Schulman,California Institute of Technology,2000,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://users.cms.caltech.edu/~schulman/,http://www.work.caltech.edu/,/~schulman/
80,Mathieu Desbrun,California Institute of Technology,1997,Full,Graphics,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble - France,Institut National Polytechnique de Grenoble - France,Institut National Polytechnique de Grenoble - France,,http://www.geometry.caltech.edu/~mathieu/,http://www.work.caltech.edu/,/~mathieu/
81,Peter Schroeder,California Institute of Technology,1995,Full,Graphics,Technical University of Berlin - Germany,Massachusetts Institute of Technology - USA,Princeton University - USA,,http://www.cms.caltech.edu/people/3197/profile,http://www.work.caltech.edu/,/people/3197/profile
82,Steven Low,California Institute of Technology,2000,Full,Networks & Communications,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://users.cms.caltech.edu/~slow/,http://www.work.caltech.edu/,/~slow/
83,Thomas Vidick,California Institute of Technology,2014,Assistant,Scientific Computing,École Normale Supérieure - France,University of Paris VII: Denis Diderot - France,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/vidick/,,/vidick/
84,Tracey C. Ho,California Institute of Technology,2005,Assistant,Networks & Communications,Massachusetts Institute of Technology - USA,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois at Urbana-Champaign - USA,http://www.its.caltech.edu/~tho/,http://www.work.caltech.edu/,/~tho/
85,Venkat Chandrasekaran,California Institute of Technology,2012,Assistant,Algorithms & Theory,Rice University - USA,,Massachusetts Institute of Technology - USA,,http://users.cms.caltech.edu/~venkatc/,http://www.work.caltech.edu/,/~venkatc/
86,Yaser S. Abu-Mostafa,California Institute of Technology,1983,Full,Machine Learning & Pattern Recognition,Cairo University - Cairo - Egypt,Georgia Institute of Technology - USA,California Institute of Technology - USA,,http://www.work.caltech.edu/,http://eas.caltech.edu/people/2893/profile,/
87,Yisong Yue,California Institute of Technology,2014,Assistant,Machine Learning & Pattern Recognition,University of Illinois at Urbana-Champaign - USA,,Cornell University - USA,Carnegie Mellon University - USA,http://www.yisongyue.com/,,/
88,Aarti Singh,Carnegie Mellon University,2009,Assistant,Machine Learning & Pattern Recognition,University of Delhi - India,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,Princeton University - USA,http://www.cs.cmu.edu/~aarti/bio-aarti_online.pdf,,/~aarti/bio-aarti_online.pdf
89,Adrien Treuille,Carnegie Mellon University,2008,Assistant,Scientific Computing,,,University of Washington - USA,University of Washington - USA,http://www.cs.cmu.edu/~treuille/,,/~treuille/
90,Alan Black,Carnegie Mellon University,1999,Full,Natural Language & Speech,Coventry University - United Kingdom,University of Edinburgh - United Kingdom,University of Edinburgh - United Kingdom,,http://en.wikipedia.org/wiki/Alan_W._Black,,/wiki/Alan_W._Black
91,Alan Montgomery,Carnegie Mellon University,1999,Associate,Data Mining,University of Illinois at Chicago - USA,University of Chicago - USA,University of Chicago - USA,,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryProfile.aspx?id=100,http://www.andrew.cmu.edu/user/alm3/,/facultydirectory/FacultyDirectoryProfile.aspx?id=100
92,Alexander J. Smola,Carnegie Mellon University,2013,Full,Machine Learning & Pattern Recognition,Technical University of Munich - Germany,Technical University of Munich - Germany,Technical University of Berlin - Germany,,http://alex.smola.org/,,/
93,Alexander Waibel,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~ahw/bio.html,,/~ahw/bio.html
94,Amy Ogan,Carnegie Mellon University,2014,Assistant,Computer Education,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,http://amyogan.com/,,/
95,Andre Platzer,Carnegie Mellon University,2008,Assistant,Scientific Computing,,Karlsruhe Institute of Technology - Germany,Carl von Ossietzky University of Oldenburg - Germany,,http://symbolaris.com/meta/Platzer-CV.pdf,,/meta/Platzer-CV.pdf
96,Andrew Moore,Carnegie Mellon University,1993,Full,Machine Learning & Pattern Recognition,,,University of Cambridge - United Kingdom,Massachusetts Institute of Technology - USA,http://www-2.cs.cmu.edu/~awm/,http://www.cs.cmu.edu/~awm/bio.html,/~awm/
97,Andy Pavlo,Carnegie Mellon University,2013,Assistant,Databases,Rochester Institute of Technology - USA,Brown University - USA,Brown University - USA,,http://www.cs.cmu.edu/~pavlo/,,/~pavlo/
98,Aniket Kittur,Carnegie Mellon University,2007,Assistant,Human-Computer Interaction,Princeton University - USA,,University of California - Los Angeles - USA,,http://kittur.org/img/Kittur_CV.pdf,,/img/Kittur_CV.pdf
99,Anind Dey,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Simon Fraser University - Canada,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.cmu.edu/~anind/,,/~anind/
100,Ann Lee,Carnegie Mellon University,2005,Associate,Machine Learning & Pattern Recognition,Chalmers University of Technology - Sweden,Chalmers University of Technology - Sweden,Brown University - USA,,http://www.stat.cmu.edu/~annlee/CV_Lee.pdf,,/~annlee/CV_Lee.pdf
101,Anupam Datta,Carnegie Mellon University,2007,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur - India,Stanford University - USA,Stanford University - USA,,https://www.andrew.cmu.edu/user/danupam/,http://www.ece.cmu.edu/directory/department/faculty/D/Anupam_Datta_3846.html,/user/danupam/
102,Anupam Gupta,Carnegie Mellon University,2004,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur - India,,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~anupamg/,http://www.cs.cmu.edu/~anupamg/newpubspage/my-papers.html,/~anupamg/
103,Ariel Procaccia,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,Hebrew University of Jerusalem - Israel,,Hebrew University of Jerusalem - Israel,Microsoft Israel R&D Center - Harvard University - USA,http://www.cs.cmu.edu/~arielpro/cv.html,,/~arielpro/cv.html
104,Avrim Blum,Carnegie Mellon University,1991,Full,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://en.wikipedia.org/wiki/Avrim_Blum,,/wiki/Avrim_Blum
105,Barnabás Póczos,Carnegie Mellon University,2010,Assistant,Algorithms & Theory,,Eotvos University - Budapest - Hungary,Eotvos University - Budapest - Hungary,University of Alberta - Canada,http://www.cs.cmu.edu/~bapoczos/,,/~bapoczos/
106,Bhiksha Raj,Carnegie Mellon University,,Associate,Natural Language & Speech,Indian Institute of Technology - Madras - India,,Carnegie Mellon University - USA,,http://mlsp.cs.cmu.edu/people/bhiksha/index.php,http://ravi.iiit.ac.in/~sig/New/WISSAP06/WISSAP06/www.ece.iisc.ernet.in/_ieeesp/wissap06/bhiksha_bio.html,/people/bhiksha/index.php
107,Brad Myers,Carnegie Mellon University,1987,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Toronto - Canada,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/bam/www/resume.html,,/afs/cs.cmu.edu/user/bam/www/resume.html
108,Carl Kingsford,Carnegie Mellon University,2012,Associate,Bioinformatics & Computational Biology,,,Princeton University - USA,,https://www.umiacs.umd.edu/people/carlk,,/people/carlk
109,Carolyn Penstein Rose,Carnegie Mellon University,2003,Associate,Natural Language & Speech,University of California - Irvine - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~cprose/2013-CV-Rose-External-Web.pdf,,/~cprose/2013-CV-Rose-External-Web.pdf
110,Chris Atkeson,Carnegie Mellon University,2000,Full,Human-Computer Interaction,,Harvard University - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~cga/,,/~cga/
111,Chris Harrison,Carnegie Mellon University,2013,Assistant,Human-Computer Interaction,New York University - USA,New York University - USA,Carnegie Mellon University - USA,,http://www.chrisharrison.net/HarrisonCVweb.pdf,,/HarrisonCVweb.pdf
112,Christian Kästner,Carnegie Mellon University,2012,Assistant,Software Engineering,,Otto von Guericke University of Magdeburg - Germany,Otto von Guericke University of Magdeburg - Germany,,http://www.cs.cmu.edu/~ckaestne/,,/~ckaestne/
113,Christine Neuwirth,Carnegie Mellon University,1983,Full,Human-Computer Interaction,University of Wisconsin - Madison - USA,State University of New York - Stony Brook - USA,Carnegie Mellon University - USA,,http://www.cmu.edu/hss/english/people/faculty/bios/chris-neuwirth.html,,/hss/english/people/faculty/bios/chris-neuwirth.html
114,Christopher Dyer,Carnegie Mellon University,2012,Assistant,Natural Language & Speech,Duke University - USA,,University of Maryland - College Park - USA,Carnegie Mellon University - USA,https://www.cs.cmu.edu/~cdyer/,https://www.cs.cmu.edu/~cdyer/cv.pdf,/~cdyer/
115,Christopher Langmead,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,Oberlin College - USA,Dartmouth College - USA,Dartmouth College - USA,,http://www.cs.cmu.edu/~cjl/,http://www-2.cs.cmu.edu/~cjl/,/~cjl/
116,Christos Faloutsos,Carnegie Mellon University,1998,Full,Data Mining,National Technical University of Athens - Greece,University of Toronto - Canada,University of Toronto - Canada,,http://www.cs.cmu.edu/~christos/webvitae.pdf,,/~christos/webvitae.pdf
